averageSpeed,highestStreak,untradedDeaths,tradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,hillTime,contestedHillTime,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalRotationKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,winner
1.727440185546875,6.0,14.0,7.0,26.33,5.33,8.0,12.0,95.0,1.4,26.0,21.0,5.0,39.65,4.23,1.2,14.0,19.0,7.0,31.14,0.0,5645.92,657.9590625,34.0,4.0,21.0,0.0,0.0,0.0,8.0,5.0,25.0,0.0,1.24,0
1.8243667602539064,4.0,16.0,6.0,28.03,5.03,20.0,21.0,96.0,0.0,20.0,22.0,10.0,43.6,3.28,98.0,10.0,15.0,5.0,27.86,1.17,5640.64,694.433359375,91.0,1.0,16.0,0.0,3.0,0.0,7.0,5.0,21.0,0.0,0.91,1
1.8940655517578124,2.0,14.0,8.0,26.44,3.76,13.0,8.0,92.0,0.0,11.0,22.0,6.0,30.05,2.46,69.0,2.0,8.0,3.0,18.52,0.0,3944.16,500.880859375,93.0,4.0,10.0,0.0,1.0,0.0,1.0,2.0,11.0,0.0,0.5,0
1.7793975830078126,3.0,8.0,11.0,23.6,4.26,14.0,14.0,90.0,2.59,26.0,19.0,8.0,39.0,3.86,1.06,14.0,18.0,8.0,29.69,1.0,4005.44,463.365703125,40.0,0.0,18.0,0.0,0.0,0.0,6.0,6.0,25.0,0.0,1.37,1
2.2455683898925782,2.0,17.0,10.0,28.16,76.0,17.0,10.0,97.0,1.27,10.0,27.0,8.0,16.4,2.52,64.0,6.0,3.0,7.0,16.38,2.0,3657.44,578.3920703125,4.0,1.0,10.0,0.0,0.0,1.0,4.0,2.0,10.0,0.0,0.37,0
1.7321675109863282,4.0,12.0,5.0,21.42,3.08,12.0,12.0,94.0,1.08,25.0,17.0,7.0,36.6,3.14,1.09,10.0,16.0,9.0,29.26,0.0,4033.44,476.0783203125,31.0,2.0,20.0,0.0,0.0,1.0,7.0,5.0,25.0,0.0,1.47,1
1.7577955627441406,5.0,18.0,3.0,24.86,3.26,14.0,14.0,98.0,0.0,22.0,21.0,7.0,30.8,3.63,95.0,8.0,16.0,6.0,27.33,31.0,3854.08,463.03484375,23.0,1.0,18.0,1.0,1.0,0.0,4.0,3.0,21.0,0.0,1.05,0
1.1497804260253903,7.0,6.0,4.0,15.68,5.42,7.0,6.0,90.0,0.0,21.0,10.0,7.0,39.8,2.83,88.0,11.0,17.0,4.0,24.6,4.0,4566.56,303.93125,1.13,2.0,20.0,0.0,0.0,0.0,2.0,3.0,19.0,0.0,2.1,1
1.9937918090820312,5.0,19.0,5.0,28.49,4.49,8.0,7.0,96.0,63.0,23.0,24.0,3.0,28.05,3.35,97.0,19.0,14.0,9.0,24.03,3.0,3780.96,517.3014453125,3.0,7.0,20.0,0.0,0.0,0.0,5.0,5.0,23.0,0.0,0.96,0
1.5336709594726563,5.0,15.0,5.0,26.6,6.6,17.0,18.0,94.0,0.0,22.0,20.0,4.0,38.6,3.57,88.0,13.0,17.0,5.0,24.04,99.0,3794.4,394.479765625,1.02,11.0,18.0,0.0,1.0,0.0,3.0,3.0,23.0,0.0,1.1,1
1.8389065551757808,5.0,16.0,8.0,28.02,3.42,18.0,16.0,91.0,1.08,22.0,24.0,7.0,43.95,3.43,97.0,14.0,15.0,7.0,25.69,50.0,5360.16,668.982265625,82.0,9.0,17.0,0.0,0.0,0.0,3.0,2.0,22.0,0.0,0.92,0
1.65135986328125,4.0,15.0,6.0,24.3,2.44,18.0,13.0,95.0,0.0,24.0,21.0,11.0,45.15,3.87,1.07,12.0,16.0,8.0,30.56,1.0,5295.04,581.9525390625,74.0,11.0,19.0,0.0,1.0,0.0,6.0,4.0,24.0,0.0,1.14,1
1.7086976623535155,4.0,13.0,12.0,30.59,5.59,12.0,14.0,95.0,0.0,25.0,25.0,12.0,46.3,4.1,1.05,9.0,15.0,10.0,29.42,31.0,5284.96,578.8869921875,68.0,13.0,21.0,1.0,0.0,0.0,8.0,3.0,25.0,0.0,1.0,0
