averageSpeed,highestStreak,untradedDeaths,tradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,hillTime,contestedHillTime,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalRotationKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,matchGame.matchId,winner
1.9557785034179687,5.0,11.0,8.0,26.55,7.17,16.0,15.0,92.0,83.0,26.0,19.0,7.0,30.0,3.4,1.03,12.0,19.0,7.0,26.41,100.0,4778.88,628.0247265625,5.0,3.0,25.0,0.0,0.0,0.0,4.0,5.0,26.0,0.0,1.37,10901,1
2.0398960876464844,5.0,19.0,6.0,29.24,3.78,20.0,15.0,94.0,1.71,18.0,25.0,5.0,36.95,2.99,83.0,7.0,15.0,3.0,22.56,1.0,4528.8,576.539921875,97.0,6.0,15.0,0.0,0.0,2.0,3.0,1.0,17.0,0.0,0.72,10901,0
1.6369902038574218,8.0,12.0,1.0,19.16,6.16,12.0,12.0,95.0,0.0,30.0,13.0,7.0,43.4,2.79,1.15,11.0,24.0,6.0,33.93,0.0,5065.12,551.1965234375,79.0,2.0,28.0,0.0,3.0,0.0,4.0,9.0,30.0,0.0,2.31,10901,1
2.005632019042969,3.0,21.0,5.0,28.32,2.32,15.0,15.0,92.0,0.0,17.0,26.0,5.0,24.25,3.66,77.0,5.0,7.0,10.0,22.32,2.0,4483.36,522.2007421875,30.0,9.0,14.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.65,10901,0
1.9535906982421876,3.0,14.0,5.0,23.78,4.32,15.0,15.0,95.0,0.0,23.0,19.0,6.0,47.35,3.46,97.0,2.0,16.0,7.0,27.57,1.0,4716.0,617.911796875,1.17,8.0,20.0,0.0,1.0,0.0,3.0,5.0,23.0,0.0,1.21,10901,1
1.7267131042480468,3.0,19.0,8.0,32.52,5.52,23.0,17.0,95.0,0.0,23.0,27.0,10.0,36.3,4.04,1.09,14.0,17.0,6.0,30.41,1.0,5452.8,580.0262890625,43.0,0.0,20.0,0.0,0.0,0.0,3.0,6.0,23.0,0.0,0.85,10120,0
1.6499649047851563,5.0,16.0,9.0,29.33,3.96,22.0,21.0,92.0,0.0,24.0,25.0,10.0,42.3,4.26,1.06,8.0,17.0,7.0,30.57,31.0,5119.68,596.8255859375,79.0,5.0,20.0,0.0,1.0,1.0,6.0,10.0,24.0,0.0,0.96,10120,1
1.6021604919433594,5.0,20.0,6.0,29.47,3.47,13.0,14.0,89.0,0.0,24.0,26.0,6.0,44.35,3.72,1.12,14.0,18.0,6.0,30.25,0.0,5463.52,549.2459765625,96.0,3.0,22.0,0.0,1.0,0.0,7.0,6.0,24.0,0.0,0.92,10120,0
1.967232208251953,5.0,20.0,6.0,31.1,4.58,11.0,15.0,96.0,1.21,25.0,26.0,8.0,43.35,2.8,1.19,15.0,19.0,6.0,31.41,0.0,5369.28,711.338515625,57.0,1.0,15.0,0.0,1.0,1.0,4.0,4.0,24.0,0.0,0.96,10120,1
1.9160638427734369,3.0,23.0,3.0,33.63,7.09,24.0,17.0,94.0,1.13,27.0,26.0,6.0,45.55,3.92,1.09,16.0,18.0,9.0,30.6,0.0,5402.4,691.4896875,53.0,12.0,24.0,0.0,0.0,1.0,7.0,5.0,27.0,0.0,1.04,10120,0
