averageSpeed,highestStreak,untradedDeaths,tradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,hillTime,contestedHillTime,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalRotationKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,winner
1.941874542236328,3.0,14.0,7.0,23.76,90.0,12.0,11.0,95.0,73.0,16.0,21.0,10.0,31.35,2.85,94.0,10.0,9.0,7.0,24.1,42.0,4358.72,622.865,66.0,2.0,11.0,0.0,2.0,0.0,3.0,5.0,16.0,0.0,0.76,1
2.0703446960449217,3.0,18.0,7.0,28.67,2.67,11.0,8.0,98.0,72.0,21.0,25.0,6.0,29.95,2.8,100.0,8.0,14.0,7.0,25.76,0.0,4127.2,656.659453125,12.0,3.0,18.0,0.0,1.0,1.0,5.0,7.0,21.0,1.0,0.84,0
1.5330583190917968,7.0,7.0,7.0,18.16,4.16,8.0,9.0,93.0,1.29,28.0,13.0,7.0,50.0,3.01,96.0,15.0,24.0,4.0,26.52,0.0,4832.64,526.2533203125,1.2,4.0,23.0,1.0,1.0,0.0,6.0,7.0,27.0,1.0,2.15,1
1.8396435546875,3.0,20.0,3.0,25.4,2.4,16.0,16.0,91.0,0.0,16.0,23.0,2.0,26.8,2.47,59.0,7.0,11.0,5.0,17.43,77.0,4233.12,538.295859375,56.0,0.0,14.0,0.0,2.0,0.0,3.0,3.0,17.0,0.0,0.7,0
1.5242607116699218,5.0,9.0,4.0,21.19,8.18,13.0,11.0,94.0,0.0,29.0,13.0,6.0,42.8,3.0,93.0,15.0,27.0,2.0,28.34,91.0,4735.68,509.7073046875,60.0,3.0,22.0,0.0,5.0,0.0,4.0,5.0,28.0,0.0,2.23,1
1.558885040283203,3.0,17.0,3.0,22.74,2.74,8.0,8.0,92.0,74.0,14.0,20.0,5.0,25.75,2.66,84.0,12.0,10.0,5.0,22.95,82.0,4215.84,524.0780078125,40.0,2.0,15.0,0.0,0.0,0.0,4.0,4.0,15.0,1.0,0.7,0
1.5640771484375,7.0,16.0,8.0,29.91,5.45,20.0,20.0,95.0,0.0,32.0,24.0,8.0,46.6,4.1,1.31,8.0,22.0,10.0,35.76,85.0,5165.44,564.2580859375,51.0,1.0,24.0,0.0,2.0,0.0,8.0,9.0,32.0,2.0,1.33,1
1.5040916442871093,3.0,22.0,6.0,31.7,2.82,16.0,20.0,93.0,0.0,22.0,28.0,6.0,41.4,3.94,1.04,16.0,15.0,7.0,30.19,87.0,5118.24,542.6986328125,71.0,2.0,17.0,0.0,2.0,1.0,3.0,3.0,22.0,2.0,0.79,0
1.824053649902344,5.0,13.0,13.0,33.37,6.03,14.0,14.0,96.0,1.09,26.0,26.0,9.0,38.35,4.58,1.28,12.0,19.0,7.0,32.98,0.0,5081.44,748.618359375,31.0,6.0,20.0,0.0,0.0,1.0,5.0,4.0,26.0,0.0,1.0,1
1.816910858154297,3.0,20.0,8.0,34.85,6.85,19.0,16.0,93.0,82.0,29.0,28.0,7.0,44.5,4.26,1.32,16.0,16.0,13.0,31.29,2.0,5183.84,694.4878125,60.0,1.0,24.0,0.0,1.0,0.0,4.0,7.0,29.0,3.0,1.04,0
