averageSpeed,highestStreak,untradedDeaths,tradedDeaths,inapplicableTradedKills,inapplicableTradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,totalObjectivesCaptured,objectiveTiersContributed,matchGame.matchId,winner
1.9633906555175782,4.0,16.0,5.0,0.0,0.0,26.68,5.4,18.0,17.0,95.0,0.0,25.0,21.0,9.0,31.0,6.77,1.32,14.0,18.0,7.0,35.71,2.64,7703.36,849.70078125,23.0,0.0,6.0,1.0,4.0,27.0,0.0,1.19,1.0,1.0,10901,0
2.0307571411132805,3.0,20.0,4.0,0.0,0.0,30.35,6.03,23.0,23.0,93.0,0.0,21.0,24.0,9.0,31.75,5.33,1.03,12.0,15.0,6.0,25.29,30.0,7499.04,881.05109375,18.0,0.0,2.0,0.0,7.0,21.0,0.0,0.88,3.0,9.0,10901,1
1.601971435546875,2.0,12.0,4.0,0.0,0.0,18.24,2.24,12.0,8.0,89.0,0.0,10.0,16.0,5.0,12.0,2.12,49.0,4.0,6.0,4.0,13.55,1.0,4333.92,414.599453125,8.0,0.0,1.0,0.0,3.0,10.0,0.0,0.63,0.0,0.0,10120,0
1.331530303955078,8.0,6.0,5.0,0.0,0.0,14.75,3.65,15.0,12.0,86.0,0.0,16.0,11.0,9.0,18.75,3.34,84.0,6.0,14.0,2.0,22.27,72.0,4549.6,344.1733984375,15.0,0.0,2.0,0.0,2.0,16.0,0.0,1.45,0.0,0.0,10120,1
1.7835934448242188,3.0,17.0,1.0,0.0,0.0,21.38,2.35,14.0,11.0,93.0,0.0,13.0,18.0,4.0,14.25,2.69,54.0,4.0,9.0,4.0,14.43,70.0,4180.96,460.309765625,9.0,0.0,1.0,0.0,1.0,13.0,0.0,0.72,0.0,0.0,10120,0
1.9979495239257807,3.0,10.0,5.0,0.0,0.0,18.26,1.41,10.0,11.0,93.0,27.0,15.0,15.0,8.0,19.5,1.57,67.0,7.0,11.0,4.0,21.02,0.0,4315.52,484.1078515625,12.0,1.0,0.0,0.0,4.0,15.0,0.0,1.0,0.0,0.0,10120,1
2.0192301940917967,2.0,13.0,7.0,0.0,0.0,21.85,1.09,18.0,11.0,93.0,23.0,9.0,20.0,6.0,13.0,2.18,62.0,5.0,2.0,7.0,15.74,97.0,4143.36,518.5951953125,8.0,2.0,2.0,0.0,1.0,9.0,0.0,0.45,0.0,0.0,10120,0
1.3254893493652344,4.0,5.0,4.0,0.0,0.0,13.89,4.47,8.0,10.0,91.0,0.0,14.0,9.0,7.0,17.5,2.36,66.0,7.0,11.0,3.0,16.63,0.0,4655.2,319.64201171875,12.0,0.0,2.0,0.0,2.0,14.0,0.0,1.56,0.0,0.0,10120,1
1.665714111328125,4.0,13.0,3.0,0.0,0.0,21.16,4.48,10.0,11.0,91.0,15.0,13.0,16.0,5.0,16.25,2.04,61.0,8.0,8.0,5.0,15.92,3.0,4312.96,415.8241796875,11.0,0.0,1.0,0.0,2.0,13.0,0.0,0.81,0.0,0.0,10120,0
1.6102761840820312,5.0,4.0,6.0,0.0,0.0,14.16,3.66,11.0,12.0,93.0,49.0,25.0,10.0,5.0,27.75,2.94,86.0,8.0,19.0,6.0,21.0,70.0,4601.44,420.683046875,23.0,2.0,0.0,0.0,2.0,26.0,0.0,2.5,0.0,0.0,10120,1
2.158489990234375,4.0,22.0,8.0,0.0,1.0,37.33,5.67,23.0,13.0,96.0,45.0,28.0,31.0,12.0,36.5,5.36,1.6,14.0,16.0,12.0,39.95,32.0,6503.2,851.92890625,22.0,0.0,1.0,2.0,4.0,27.0,0.0,0.9,1.0,0.0,10108,1
1.5521841430664063,4.0,21.0,5.0,1.0,0.0,33.63,5.73,24.0,22.0,97.0,0.0,27.0,26.0,16.0,37.75,5.27,1.57,15.0,19.0,7.0,41.15,34.0,6810.24,660.304765625,25.0,0.0,2.0,0.0,5.0,27.0,0.0,1.04,1.0,3.0,10108,0
1.4593255615234375,7.0,12.0,5.0,0.0,0.0,26.21,7.01,14.0,16.0,88.0,0.0,24.0,17.0,9.0,32.25,5.16,1.12,6.0,20.0,4.0,29.17,30.0,7052.64,601.63125,22.0,0.0,0.0,0.0,5.0,23.0,0.0,1.41,1.0,5.0,10108,1
1.6290536499023438,4.0,17.0,7.0,1.0,0.0,31.13,6.69,19.0,15.0,97.0,0.0,24.0,24.0,7.0,28.0,4.68,1.05,7.0,17.0,6.0,26.82,0.0,6923.36,736.079609375,23.0,0.0,1.0,0.0,7.0,24.0,0.0,1.0,0.0,1.0,10108,0
1.8394989013671874,4.0,15.0,10.0,0.0,0.0,31.83,6.83,15.0,21.0,98.0,1.23,20.0,25.0,6.0,25.5,3.42,89.0,17.0,16.0,4.0,22.5,62.0,6746.56,772.1484375,18.0,0.0,0.0,2.0,4.0,20.0,0.0,0.8,1.0,2.0,10108,1
2.05351806640625,2.0,21.0,6.0,0.0,0.0,32.56,5.55,26.0,17.0,93.0,98.0,19.0,27.0,7.0,24.75,3.01,1.06,5.0,14.0,5.0,27.55,1.05,6650.24,801.13078125,17.0,3.0,0.0,1.0,4.0,19.0,0.0,0.7,1.0,2.0,10108,0
1.6113554382324218,8.0,16.0,6.0,0.0,1.0,32.75,6.84,3.0,10.0,91.0,25.0,33.0,23.0,9.0,40.5,6.37,30.0,13.0,26.0,7.0,39.87,52.0,6947.2,686.085859375,26.0,1.0,2.0,0.0,6.0,33.0,0.0,1.43,1.0,1.0,10108,1
1.7790101623535157,5.0,19.0,9.0,0.0,0.0,36.29,7.87,18.0,21.0,94.0,65.0,26.0,28.0,6.0,32.0,4.69,1.19,7.0,15.0,11.0,30.84,73.0,6537.44,725.35484375,24.0,1.0,1.0,0.0,6.0,25.0,0.0,0.93,1.0,1.0,10108,0
2.101697998046875,3.0,21.0,12.0,0.0,0.0,40.35,6.23,28.0,16.0,97.0,1.07,24.0,33.0,9.0,31.5,3.86,1.23,13.0,16.0,8.0,33.65,96.0,8773.6,1341.74734375,21.0,0.0,0.0,1.0,5.0,24.0,0.0,0.73,2.0,5.0,11216,1
1.6826817321777343,7.0,15.0,7.0,0.0,0.0,29.57,7.57,17.0,15.0,96.0,0.0,24.0,22.0,10.0,34.5,4.44,1.16,10.0,21.0,3.0,30.13,1.02,9244.16,1066.62265625,23.0,1.0,1.0,0.0,5.0,24.0,2.0,1.09,3.0,8.0,11216,0
2.0814108276367187,7.0,23.0,7.0,1.0,0.0,37.99,5.78,25.0,17.0,95.0,1.98,24.0,30.0,8.0,26.75,3.5,1.17,8.0,19.0,4.0,30.16,2.0,8848.48,1288.389140625,18.0,0.0,1.0,1.0,5.0,24.0,0.0,0.8,2.0,1.0,11216,1
2.074690399169922,7.0,22.0,7.0,0.0,0.0,36.43,7.01,30.0,24.0,95.0,3.08,31.0,29.0,9.0,39.75,4.29,1.45,13.0,21.0,10.0,38.05,1.0,8956.32,1327.64625,27.0,1.0,1.0,3.0,6.0,31.0,0.0,1.07,3.0,4.0,11216,0
1.7156471252441405,5.0,21.0,3.0,0.0,0.0,33.43,9.07,22.0,13.0,95.0,0.0,32.0,24.0,9.0,38.75,4.37,1.45,7.0,25.0,7.0,38.9,1.39,9245.12,1140.18265625,29.0,1.0,1.0,0.0,5.0,33.0,2.0,1.33,2.0,3.0,11216,1
1.7461097717285157,4.0,24.0,9.0,0.0,0.0,38.52,4.15,20.0,12.0,92.0,0.0,26.0,33.0,10.0,32.0,5.97,1.35,12.0,14.0,12.0,37.12,30.0,8720.48,1101.270859375,23.0,1.0,1.0,0.0,7.0,26.0,1.0,0.79,0.0,0.0,11216,0
1.8006768798828126,4.0,19.0,9.0,0.0,0.0,35.02,6.82,22.0,23.0,97.0,0.0,31.0,28.0,8.0,38.0,5.06,1.4,22.0,22.0,9.0,40.96,41.0,9081.6,1145.85109375,25.0,0.0,1.0,0.0,10.0,31.0,0.0,1.11,2.0,2.0,11216,1
1.9085064697265626,5.0,21.0,5.0,0.0,1.0,40.79,13.51,16.0,12.0,96.0,2.21,34.0,27.0,5.0,39.75,4.15,1.5,8.0,28.0,6.0,38.71,31.0,9078.08,1216.048359375,29.0,1.0,0.0,3.0,7.0,34.0,2.0,1.26,2.0,4.0,11216,0
1.4742742919921874,7.0,17.0,5.0,0.0,0.0,27.78,5.44,23.0,24.0,93.0,0.0,27.0,22.0,8.0,32.25,5.57,1.36,9.0,21.0,6.0,36.24,1.6,6647.2,558.374765625,23.0,0.0,0.0,0.0,4.0,28.0,0.0,1.23,1.0,4.0,8649,0
1.8296389770507806,4.0,18.0,5.0,0.0,0.0,29.93,6.59,22.0,22.0,95.0,3.06,23.0,23.0,7.0,29.75,3.84,1.08,9.0,18.0,5.0,27.93,1.0,6640.48,719.909765625,20.0,1.0,4.0,2.0,3.0,23.0,0.0,1.0,1.0,3.0,8649,1
2.130199432373047,5.0,21.0,8.0,0.0,0.0,37.13,4.96,10.0,20.0,93.0,53.0,27.0,29.0,7.0,35.5,3.23,1.16,12.0,19.0,8.0,33.34,1.0,6243.2,830.814296875,20.0,1.0,0.0,2.0,6.0,27.0,0.0,0.93,1.0,4.0,8649,0
2.1226617431640626,6.0,21.0,9.0,0.0,0.0,35.88,4.55,13.0,25.0,95.0,0.0,28.0,30.0,8.0,34.75,3.51,1.15,10.0,21.0,7.0,33.53,31.0,6236.8,794.207265625,24.0,0.0,0.0,1.0,3.0,28.0,0.0,0.93,2.0,4.0,8649,1
1.4681173706054687,4.0,21.0,6.0,0.0,0.0,31.41,3.99,8.0,20.0,91.0,0.0,21.0,27.0,12.0,29.75,3.94,95.0,13.0,15.0,6.0,28.64,32.0,6355.52,588.7476953125,16.0,0.0,0.0,0.0,6.0,21.0,0.0,0.78,0.0,0.0,8649,0
1.763330535888672,3.0,16.0,6.0,0.0,0.0,31.37,6.93,21.0,19.0,93.0,0.0,16.0,22.0,9.0,23.5,2.75,86.0,6.0,14.0,2.0,23.93,12.0,6655.36,661.7121875,14.0,0.0,2.0,0.0,5.0,16.0,0.0,0.73,2.0,5.0,8649,1
1.8153706359863282,6.0,22.0,6.0,0.0,0.0,35.56,6.62,15.0,16.0,96.0,1.07,25.0,28.0,7.0,31.75,3.96,98.0,14.0,19.0,6.0,29.58,0.0,6368.32,699.349921875,21.0,0.0,1.0,0.0,4.0,24.0,0.0,0.89,1.0,2.0,8649,0
1.9218849182128903,5.0,19.0,6.0,0.0,0.0,32.49,6.17,7.0,4.0,95.0,1.36,39.0,25.0,5.0,42.25,5.18,1.77,18.0,28.0,11.0,44.56,1.43,6507.04,758.9459375,27.0,3.0,0.0,1.0,6.0,39.0,0.0,1.56,2.0,0.0,8649,1
