averageSpeed,highestStreak,untradedDeaths,tradedDeaths,inapplicableTradedKills,inapplicableTradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,totalObjectivesCaptured,objectiveTiersContributed,winner
2.008058624267578,3.0,10.0,3.0,0.0,0.0,16.72,3.01,7.0,6.0,95.0,0.0,17.0,13.0,5.0,21.5,3.13,14.0,7.0,12.0,5.0,20.77,0.0,4874.88,615.35171875,14.0,0.0,2.0,0.0,3.0,17.0,1.0,1.31,2.0,4.0,1
2.477476043701172,2.0,17.0,5.0,0.0,0.0,24.24,2.02,7.0,8.0,98.0,66.0,15.0,22.0,6.0,18.5,2.02,62.0,7.0,11.0,4.0,17.26,1.0,4450.08,774.117734375,12.0,0.0,0.0,1.0,1.0,15.0,0.0,0.68,1.0,4.0,0
1.754028015136719,3.0,11.0,4.0,0.0,0.0,20.0,4.16,9.0,5.0,88.0,0.0,5.0,15.0,2.0,9.35,1.75,32.0,3.0,5.0,0.0,8.99,30.0,4716.64,567.69515625,4.0,0.0,0.0,0.0,0.0,5.0,2.0,0.33,2.0,8.0,0
1.434615020751953,7.0,5.0,4.0,0.0,0.0,14.49,5.33,10.0,8.0,93.0,0.0,23.0,9.0,3.0,25.45,2.78,96.0,8.0,19.0,4.0,26.53,0.0,5155.52,510.52078125,21.0,0.0,1.0,0.0,1.0,21.0,2.0,2.56,0.0,1.0,1
2.336312866210937,3.0,14.0,5.0,0.0,1.0,23.88,3.88,10.0,6.0,96.0,79.0,10.0,20.0,4.0,14.0,1.96,61.0,9.0,8.0,2.0,15.57,0.0,4617.92,735.522265625,8.0,0.0,0.0,1.0,0.0,10.0,0.0,0.5,1.0,6.0,0
2.042580261230469,5.0,14.0,3.0,1.0,0.0,21.66,4.24,14.0,12.0,90.0,62.0,21.0,17.0,2.0,23.5,3.7,1.2,14.0,12.0,8.0,27.37,1.0,4724.16,641.5734375,18.0,2.0,0.0,1.0,5.0,21.0,0.0,1.24,1.0,4.0,1
1.7344960021972655,3.0,15.0,3.0,0.0,0.0,22.76,3.98,14.0,10.0,97.0,0.0,15.0,18.0,4.0,18.55,3.06,72.0,10.0,12.0,3.0,20.55,10.0,4703.84,512.0400390625,11.0,0.0,1.0,1.0,1.0,15.0,0.0,0.83,0.0,0.0,0
1.7990060424804688,3.0,10.0,0.0,0.0,0.0,13.71,3.4,10.0,8.0,96.0,92.0,11.0,10.0,2.0,13.25,1.7,52.0,5.0,9.0,2.0,13.18,0.0,5088.48,623.8470703125,7.0,1.0,0.0,0.0,3.0,11.0,0.0,1.1,2.0,4.0,1
1.83609619140625,6.0,13.0,3.0,0.0,0.0,18.17,2.17,10.0,4.0,94.0,85.0,14.0,16.0,3.0,16.75,2.43,70.0,10.0,10.0,4.0,17.38,0.0,4672.32,569.244453125,10.0,0.0,0.0,0.0,1.0,14.0,0.0,0.88,1.0,3.0,0
1.405212707519531,7.0,6.0,2.0,0.0,0.0,12.66,3.79,9.0,8.0,89.0,0.0,14.0,8.0,3.0,16.8,2.19,61.0,4.0,13.0,1.0,17.33,2.0,5195.04,509.955859375,12.0,0.0,3.0,0.0,3.0,14.0,1.0,1.75,1.0,1.0,1
2.121723022460937,6.0,18.0,5.0,0.0,0.0,30.22,6.22,15.0,9.0,93.0,1.06,20.0,23.0,7.0,23.75,3.89,1.07,11.0,15.0,5.0,25.8,0.0,5239.52,815.77125,16.0,1.0,1.0,0.0,2.0,20.0,0.0,0.87,2.0,4.0,0
1.9936427307128903,3.0,15.0,4.0,0.0,0.0,22.37,2.37,20.0,13.0,91.0,0.0,13.0,19.0,10.0,18.45,2.58,69.0,5.0,11.0,2.0,19.86,97.0,5489.6,703.10484375,10.0,0.0,1.0,0.0,3.0,12.0,2.0,0.68,2.0,3.0,1
1.6797373962402344,4.0,12.0,2.0,0.0,0.0,20.03,5.52,12.0,11.0,97.0,0.0,18.0,14.0,5.0,22.85,3.78,77.0,8.0,13.0,5.0,22.77,30.0,5804.16,647.761953125,16.0,0.0,2.0,0.0,5.0,18.0,0.0,1.29,2.0,5.0,0
2.242752685546875,4.0,14.0,4.0,0.0,0.0,23.02,3.58,12.0,10.0,98.0,1.64,21.0,18.0,7.0,25.0,3.33,1.08,4.0,18.0,3.0,26.49,0.0,5594.72,907.802734375,18.0,2.0,1.0,0.0,3.0,21.0,0.0,1.17,0.0,1.0,1
2.217610778808593,3.0,16.0,5.0,0.0,0.0,24.96,3.7,17.0,11.0,94.0,95.0,15.0,21.0,3.0,18.5,1.8,65.0,9.0,13.0,2.0,15.85,0.0,5387.2,819.887421875,11.0,0.0,0.0,3.0,2.0,15.0,0.0,0.71,2.0,5.0,0
