averageSpeed,highestStreak,untradedDeaths,tradedDeaths,inapplicableTradedKills,inapplicableTradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,totalAces,totalInVictimFovKills,totalDefuserKills,totalFirstBloodKills,totalLongshotKills,totalPlanterKills,totalPointblankKills,totalRevengeKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,bombsPlanted,bombsDefused,sneakDefuses,matchGame.matchId,winner
69.24845123291016,2.0,4.0,2.0,2.0,1.0,9.26,1.93,5.0,8.0,65.0,15.0,5.0,7.0,3.0,4.25,1.42,29.0,4.0,2.0,1.0,11.17,20.0,5403.2,322.354765625,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.71,0.0,0.0,0.0,8701,1
77.91320037841797,2.0,7.0,0.0,0.0,2.0,13.72,3.23,8.0,7.0,61.0,17.0,9.0,9.0,1.0,9.5,2.02,47.0,8.0,9.0,0.0,13.5,31.0,4693.12,356.5482421875,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,8701,0
84.27363586425781,3.0,5.0,0.0,2.0,1.0,9.56,2.59,9.0,8.0,58.0,65.0,9.0,6.0,0.0,8.0,1.38,49.0,3.0,7.0,0.0,11.74,33.0,4666.24,379.76203125,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,1.5,2.0,0.0,0.0,8701,1
96.34082794189452,3.0,6.0,1.0,1.0,0.0,10.98,3.1,8.0,8.0,68.0,26.0,8.0,7.0,5.0,9.75,1.52,43.0,3.0,7.0,0.0,12.39,0.0,5151.52,416.1137890625,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.14,0.0,0.0,0.0,8701,0
74.58507537841797,2.0,7.0,0.0,1.0,0.0,13.6,6.11,7.0,7.0,56.0,20.0,6.0,7.0,1.0,5.75,1.03,5.0,2.0,4.0,1.0,7.81,0.0,4311.36,322.34498046875,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.86,0.0,0.0,0.0,8701,1
67.9096908569336,2.0,3.0,3.0,1.0,2.0,9.77,1.25,10.0,8.0,47.0,42.0,3.0,8.0,7.0,6.5,97.0,13.0,2.0,2.0,0.0,5.52,1.0,4068.0,319.2480859375,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.38,2.0,0.0,0.0,8701,0
1.1393208312988279,4.0,4.0,1.0,1.0,1.0,12.56,4.58,7.0,5.0,71.0,36.0,9.0,6.0,3.0,9.25,1.41,47.0,8.0,7.0,1.0,12.66,1.0,5845.76,543.2224609375,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,1.5,0.0,0.0,0.0,10901,0
81.39269256591797,4.0,6.0,1.0,0.0,0.0,9.72,2.2,3.0,1.0,51.0,36.0,5.0,7.0,0.0,5.0,85.0,23.0,1.0,5.0,0.0,6.5,0.0,4487.04,424.9275390625,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,0.71,0.0,0.0,0.0,10901,1
1.0141421508789064,3.0,4.0,2.0,0.0,2.0,9.52,1.52,8.0,5.0,77.0,46.0,7.0,8.0,1.0,11.5,89.0,29.0,4.0,5.0,2.0,8.14,0.0,5860.0,478.0834765625,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.88,0.0,0.0,0.0,10901,0
99.06548309326172,2.0,5.0,2.0,1.0,1.0,9.85,1.47,7.0,3.0,69.0,72.0,8.0,8.0,2.0,9.5,1.38,43.0,4.0,4.0,3.0,11.05,0.0,5670.24,501.9639453125,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,10901,1
